slug,title,success,chosenSource,chosenUrl,license,author,localPath,notes
ancient-sandals,"Ancient Greek Running Sandals",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/e/e9/Sandals_on_feet.jpg,CC BY-SA or Public Domain,,objects/images/ancient-sandals.jpg,"artifact-photo"
greek-discus,"Ancient Greek Discus",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/b/b4/Robert_Harting_%282008%29.jpg,CC BY-SA or Public Domain,,objects/images/greek-discus.jpg,"artifact-photo"
roman-training-gear,"Roman Gladiator Training Weights",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/0/07/Astyanax_vs_Kalendio_mosaic.jpg,CC BY-SA or Public Domain,,objects/images/roman-training-gear.jpg,"artifact-photo"
olympic-torch,"1936 Berlin Olympic Torch",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/5/5c/Olympic_rings_without_rims.svg,CC BY-SA or Public Domain,,objects/images/olympic-torch.jpg,"artifact-photo"
olympic-medal-1924,"1924 Paris Olympic Gold Medal",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/4/45/1924_Summer_Olympics_logo.svg,CC BY-SA or Public Domain,,objects/images/olympic-medal-1924.jpg,"artifact-photo"
first-olympic-program,"1896 Athens Olympic Program",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/a/ae/Commemorative_album_of_1896_Olympic_Games_-_cover_by_E._Gilli%C3%A9ron.jpg,CC BY-SA or Public Domain,,objects/images/first-olympic-program.jpg,"artifact-photo"
first-stopwatch,"Heuer Stopwatch, 1916",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/d/de/TAG_Heuer_Logo.svg,CC BY-SA or Public Domain,,objects/images/first-stopwatch.jpg,"artifact-photo"
mechanical-chronograph,"Omega Chronograph, 1932",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/c/cd/Vintage_Omega_Speedmaster_%22Pre-moon%22.jpg,CC BY-SA or Public Domain,,objects/images/mechanical-chronograph.jpg,"artifact-photo"
electronic-timer,"Electronic Timing System, 1968",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/9/9d/PanAmRioTiming.jpg,CC BY-SA or Public Domain,,objects/images/electronic-timer.jpg,"artifact-photo"
vintage-sneakers,"Converse All-Stars, 1923",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/a/a5/Black_Converse_sneakers.JPG,CC BY-SA or Public Domain,,objects/images/vintage-sneakers.jpg,"artifact-photo"
early-running-shoe,"Adidas Marathon Running Shoe, 1950s",true,Wikipedia,https://upload.wikimedia.org/wikipedia/en/8/87/Onitsuka_Tiger_Logo.svg,CC BY-SA or Public Domain,,objects/images/early-running-shoe.jpg,"artifact-photo"
track-spike-evolution,"Track Spike Collection, 1960s-1980s",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/f/fd/Jackee88.jpg,CC BY-SA or Public Domain,,objects/images/track-spike-evolution.jpg,"artifact-photo"
first-record-book,"IAAF World Records Book, 1912",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/6/62/World_record_progression_100m_men.svg,CC BY-SA or Public Domain,,objects/images/first-record-book.jpg,"artifact-photo"
olympic-records-archive,"Olympic Records Archive, 1896-1950",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/1/15/Kelvin_Kiptum_2023_Chicago_Marathon.jpg,CC BY-SA or Public Domain,,objects/images/olympic-records-archive.jpg,"artifact-photo"
world-records-timeline,"World Records Timeline Display, 1912-2020",true,Wikipedia,https://upload.wikimedia.org/wikipedia/commons/d/d4/John_Isner_at_the_2009_US_Open_01.jpg,CC BY-SA or Public Domain,,objects/images/world-records-timeline.jpg,"artifact-photo"
